yearweek,tavg,tmin,tmax,prcp,snow,wspd,rain_days_count,region
201339,17.12857142857143,10.6,27.8,0.8,0.0,9.685714285714285,1,Boston
201340,15.385714285714284,8.9,25.6,10.7,0.0,14.285714285714286,2,Boston
201341,14.285714285714286,6.7,22.8,1.3,0.0,13.542857142857143,2,Boston
201342,12.042857142857143,3.9,21.7,0.0,0.0,15.799999999999999,0,Boston
201343,9.757142857142856,1.7,22.2,3.7,0.0,17.942857142857143,4,Boston
201344,8.557142857142857,-0.5,20.0,6.3999999999999995,0.0,16.0,2,Boston
201345,5.385714285714286,-3.2,16.7,2.8,0.0,19.02857142857143,2,Boston
201346,7.3428571428571425,-1.6,19.4,11.2,0.0,13.885714285714286,3,Boston
201347,2.042857142857143,-7.7,16.7,48.0,0.0,24.014285714285712,2,Boston
201348,4.271428571428571,-6.6,13.9,14.8,0.0,11.114285714285714,3,Boston
201349,-0.7857142857142858,-8.8,6.1,15.000000000000002,11.0,18.04285714285714,3,Boston
201350,-2.6000000000000005,-12.7,10.6,35.400000000000006,133.0,20.314285714285713,3,Boston
201351,1.4714285714285713,-9.3,12.2,18.900000000000002,10.0,14.657142857142857,3,Boston
201352,2.5999999999999996,-2.7,8.9,33.5,0.0,15.1,1,Boston
201400,-5.54,-16.6,6.7,14.5,39.0,21.46,2,Boston
201401,-4.685714285714285,-16.6,13.3,9.6,56.0,18.414285714285715,3,Boston
201402,5.828571428571428,-0.5,15.0,33.8,0.0,14.757142857142856,2,Boston
201403,-5.1000000000000005,-14.3,5.0,23.700000000000003,94.0,20.985714285714288,3,Boston
201404,-4.457142857142857,-10.5,8.3,0.8,55.0,20.3,2,Boston
201405,-0.21428571428571416,-7.1,12.8,33.0,80.0,13.685714285714287,3,Boston
201406,-3.8285714285714287,-13.2,2.8,42.99999999999999,179.0,19.62857142857143,3,Boston
201407,-1.0285714285714287,-9.9,8.9,28.5,276.0,17.9,6,Boston
201408,-1.1714285714285713,-12.1,11.1,0.5,124.0,18.97142857142857,1,Boston
201409,-3.9714285714285715,-11.6,4.4,0.0,126.0,12.985714285714286,0,Boston
